class,description
Monogenea,"1. This monogenean, Gyrodactylus, appears as a small, flattened worm with a complex posterior attachment organ, the opisthaptor, featuring numerous hooks, anchoring it to a fish gill. 
2. Dactylogyrus vastator is a tiny, elongated flatworm with a distinct opisthaptor armed with large anchor hooks and smaller hooklets, attached to the fins of a koi fish. 
3. This specimen, a species of Polystoma, has a large, flattened body and a prominent opisthaptor with multiple suckers and hooks, residing in the bladder of a frog."
Thaliacea,"1. The solitary form of Salpa maggiore is a transparent, barrel-shaped organism with visible muscle bands encircling the body, its internal organs appearing as an orange knot. 
2. This specimen of Doliolum is a small, gelatinous zooid with eight prominent muscle bands and a feeding apparatus inside its transparent tunic, drifting in the open ocean. 
3. The colonial chain of Pyrosoma atlanticum is a hollow, cylindrical tube composed of hundreds of tiny, bioluminescent zooids, each with a gelatinous tunic."
Stelpaviricetes,N/A
Peronosporea,"1. This oomycete, Saprolegnia parasitica, displays a network of white, cottony hyphae growing outwards in a radial pattern on the scales of a dead fish. 
2. Plasmopara viticola, the downy mildew of grapes, is characterized by a fuzzy, white growth of sporangiophores on the underside of a grape leaf, contrasting with the yellowish lesions on top. 
3. The oomycete Phytophthora infestans is identified by its rapidly spreading, cotton-like mycelial growth on potato leaves and stems, with dark, water-soaked lesions developing along the margins."
Myxini,"1. A hagfish (Myxine glutinosa) is a long, eel-like creature with a grayish-pink body, a flattened tail, and four pairs of barbels surrounding its jawless mouth. 
2. Eptatretus cirrhatus, a New Zealand hagfish, has a smooth, cylindrical body, a uniform purplish-brown color, and a series of gill slits along its sides, visible in a rocky crevice. 
3. This hagfish (Paramyxine sp.) has a dark, grayish-black body with a distinctive row of slime pores running along its ventral surface, partially buried in soft sediment."
Myxomycetes,"1. The slime mold Fuligo septica is a bright yellow, foamy, amorphous mass growing over dead leaves and wood mulch. 
2. This species of Arcyria shows a cluster of tiny, reddish-pink, stalked sporangia, each appearing like a miniature pinhead, on a decaying log. 
3. The slime mold Stemonitis splendens is characterized by its dense cluster of tall, dark brown to black sporangia, resembling a delicate, fuzzy plume rising from a wooden substrate."
Elasmobranchii,"1. The Great White Shark (Carcharodon carcharias) is a large, torpedo-shaped predator with a gray dorsal surface sharply contrasting with its white belly, its prominent dorsal fin breaking the water's surface. 
2. The Spotted Eagle Ray (Aetobatus narinari) has a flattened, diamond-shaped body with a long tail and numerous small, white spots against a dark, bluish-black background, swimming in clear water. 
3. A Southern Stingray (Hypanus americanus) lies partially buried in the sandy seafloor, its broad, brownish-gray, disc-like body blending seamlessly with the environment, with only its eyes and spiracles visible."
Neonemertea,"1. A brightly colored ribbon worm from the subclass Heteronemertea has a flattened, unsegmented body with patterns of yellow, orange, red, and green, moving by dorso-ventral undulations. 2. Malacobdella grossa is a short, wide, leech-like worm with a ventrally flattened body and a prominent posterior sucker, residing commensally within a clam."
Sarcomonadea,N/A
Heliozoa,"1. Actinosphaerium is a large, multinucleate, spherical protist with a highly vacuolated ectoplasm, from which numerous slender, radiating axopodia extend. 2. The organism Acanthocystis lyra is a spherical cell with radiating spiny protrusions, which, under electron microscopy, are revealed to be long and short spine scales with hollow shafts and intricate S-shaped branches."
Aconoidasida,N/A
Labyrinthulea,"1. An Aplanochytrium cell glides along a secreted ectoplasmic thread, appearing spherical to ovoid with a pale or creamy-white color. 2. A colony of Labyrinthula zosterae consists of spindle-shaped cells that move bidirectionally within a network of transparent, extracellular ectoplasmic 'tracks' or 'slime nets.'"
Centroplasthelida,"1. The spherical body of a Raphidocystis tubifera cell is surrounded by three distinct types of scales, including long, radiating, trumpet-like scales and a dense layer of smaller oval scales. 2. Acanthocystis siemensmae is a round cell covered in two types of scales: triangular spine scales and oval plate scales, with the spine scales uniquely having a horse hoof-shaped basal plate."
Heterolobosea,"1. An active amoeboid form of Naegleria fowleri shows constant changes in size and shape, advancing by the eruptive formation of broad, rounded pseudopodia from its anterior margin. 2. The flagellated stage of this organism, slightly smaller in size, features two or four anterior flagella that emerge from a ventral feeding groove."
Saccharomycetes,"1. A microscopic image of Saccharomyces reveals spherical to ovoid cells reproducing by budding, which appear as attached blastoconidia. 2. The colony of Saccharomyces cerevisiae on a petri dish is medium-sized, off-white to creamy, and displays a round form with smooth, glistening, and raised edges."
Enteropneusta,"1. The acorn worm Saccoglossus kowalevskii is a long, worm-like marine invertebrate, with a distinctly pointed proboscis that connects to a short collar and a long, pink, brownish, or orange trunk. 2. The Balanoglossus gigas exhibits a body plan divided into three main parts: a blunt, acorn-shaped proboscis, a short fleshy collar, and a very long, worm-like trunk."
Thecomonadea,N/A
Andreaeopsida,"1. Andreaea rupestris forms dense, cushion-like tufts of a red-black, blackish, or green-brown color, with irregularly branched, erect stems and short-lanceolate leaves that lack a central nerve. 2. The sporophyte of this moss, supported by a pseudopodium, features an erect, elliptic capsule that lacks an operculum and opens by splitting along four vertical lines of dehiscence."
Ichthyostraca,"1. The fish louse Argulus is an ovoid, dorso-ventrally flattened parasite with a wide, semi-transparent carapace, two compound eyes, and a pair of prominent suckers on the ventral side. 2. Linguatula serrata is a translucent, worm-like parasite with a tongue shape, a convex dorsal surface, and a ventrally flattened body with a transversely striated cuticle and two pairs of hooks flanking the oral aperture."
Dictyochophyceae,N/A
Phascolosomatidea,N/A
Diplura,"1. The blind, pale, and slender body of Japyx terminates in a pair of hard, pincer-like abdominal cerci, which are used to capture small prey. 2. Campodea staphylinus has a small, white, and elongated body with two long, slender, bristle-like abdominal cerci extending from its posterior end."
Karyorelictea,"1. The elongated, brownish cell of Loxodes magnus is clearly visible, featuring a prominent row of spherical, refractile Müllerian vesicles arranged neatly along its dorsal margin.


 2. With its extremely long and flexible ribbon-like body, a specimen of Tracheloraphis winds between sediment particles, its distinct, club-shaped head contrasting with its uniformly narrow trunk.


 3. A silvery, ribbon-like Kentrophoros displays an undulating form, its left surface covered by a dense, dark coat of symbiotic bacteria that contrasts with the clear cytoplasm at its tapered ends."
Archiacanthocephala,"1. The thorny-headed worm Macracanthorhynchus hirudinaceus presents a large, pinkish, transversely wrinkled body, its small, retractable proboscis armed with distinct rows of spiny hooks for attachment.


 2. Displaying its characteristic bead-like pseudosegmented body, the adult Moniliformis moniliformis has a long, cylindrical proboscis covered in longitudinal rows of sharp, posteriorly-directed hooks, clearly visible under magnification."
Conoidasida,"1. A micrograph reveals a smooth, thick-walled oocyst of Eimeria, its ovoid shape containing distinct internal sporocysts that house the infective sporozoites.


 2. The trophozoite of Gregarina garnhami shows a distinct, segmented body composed of a globular epimerite, a protomerite, and a larger, granule-filled deutomerite containing a single nucleus."
Conjugatophyceae,"1. Within the long, cylindrical cells of a Spirogyra filament, one or more vibrant green chloroplasts are arranged in a distinct and elegant helix, dotted with small, circular pyrenoids.


 2. Each rectangular cell of the filamentous alga Zygnema contains a pair of prominent, star-shaped chloroplasts, with a large, central pyrenoid visible in each star.


 3. The unicellular desmid Cosmarium exhibits perfect bilateral symmetry, its two smooth semicells joined by a narrow central isthmus, each containing a large, green chloroplast.


 4. A living cell of Euastrum elfarafraense shows two trapeziform semicells, each with a broadly rounded basal lobe and a central protuberance decorated with a circular arrangement of small granules."
Laboulbeniomycetes,"1. Numerous minute, yellowish thalli of Hesperomyces virescens are visible as bristle-like projections erupting from the dark elytron of an adult harlequin ladybird.


 2. Attached to the leg of a carabid beetle, the compact, multicellular thallus of Laboulbenia anaplogenii appears as a small, dark, hair-like structure with a distinct flask-shaped perithecium."
Palaeacanthocephala,"1. The proboscis of a Rhadinorhynchus species is cylindrical and densely armed with rows of sharp, recurved hooks, which are used to anchor the parasite within its fish host's intestine.


 2. An adult Pseudoacanthocephalus toshimai removed from its amphibian host shows a small, flattened, yellowish-white body with a spiny, globular proboscis at its anterior end."
Odontostomatea,"1. The anaerobic ciliate Saprodinium dentatum displays a bizarre, helmet-shaped body, with a rigid pellicle featuring a prominent dorsal keel and an array of sharp, posteriorly-directed spines.


 2. A scanning electron micrograph of Discomorphella pectinata reveals its discoid, laterally compressed body, which is heavily armored and ornamented with three long, rigid spines on its right side."
Myxozoa,"1. Spores of Myxobolus cerebralis appear as small, lenticular bodies under microscopy, each containing two distinct, pear-shaped polar capsules at the anterior end within a smooth shell.


 2. The spore of Kudoa thyrsites is distinctly stellate, or star-shaped, in apical view, possessing four symmetrical valves, each of which houses a single polar capsule.


 3. A spore of Henneguya zschokkei is characterized by its ovoid main body containing two polar capsules, from which two exceptionally long, thin caudal appendages extend posteriorly."
Acantharea,"1. The intricate skeleton of Acanthometra consists of twenty radial spines of strontium sulfate that emerge from the cell's center and are arranged with perfect geometric regularity.


 2. The marine planktonic protist Lithoptera mülleri exhibits a flattened, plate-like skeleton formed by four broad, cross-shaped equatorial spines that are fenestrated with intricate openings.


 3. A specimen of Amphilonche elongata displays an elongated central capsular shell from which sets of long primary and shorter secondary spicules radiate outwards."
Clostridia,"1. A Gram stain of Clostridium botulinum reveals dark purple, rod-shaped vegetative cells alongside cells containing clear, unstained terminal endospores that cause the cell to swell into a distinct bowling-pin shape.


 2. Under high magnification, a culture of Clostridium perfringens shows large, rectangular, Gram-positive rods, notably lacking the spores commonly seen in other species of this genus."
Filosia,"1. The flask-shaped test of the amoeba Euglypha is composed of numerous overlapping, circular siliceous plates, creating a scale-like surface, with the aperture bordered by a crown of toothed scales."
Apicomonadea,"1. The photosynthetic alga Chromera velia appears as a spherical, golden-brown cell encased in a thick, smooth wall, with a prominent, multi-lobed chloroplast visible internally."
Glomeromycetes,"1. A large, globose spore of Glomus mosseae is seen in soil, its golden-yellow, multi-layered wall attached to a single, distinct funnel-shaped subtending hypha.


 2. A massive, pale cream-colored spore of Gigaspora rosea is characterized by its globose shape and a complex, thick wall composed of multiple layers, visible here after being gently crushed."
Nuda,"1. The comb jelly Beroe cucumis has a transparent, sac-like body with a noticeable pinkish hue, propelled by eight longitudinal rows of shimmering, iridescent ciliary combs.


 2. Lacking tentacles, the slender, cylindrical body of Beroe gracilis is almost completely transparent, with its eight comb rows creating a rainbow-like light-scattering effect as it swims.


 3. The large comb jelly Neis cordigera displays a flattened, bilaterally symmetrical body with two large, trailing auroral lobes, its surface lined with the characteristic iridescent comb rows."
Caudofoveata,"	
1. The worm-like mollusc Chaetoderma nitidulum has a long, cylindrical body covered in a cuticle embedded with calcareous sclerites, which give its surface a distinct, glistening appearance.


 2. A specimen of Falcidens shows a slender, vermiform body, which upon microscopic examination is covered by tiny, scale-like calcareous sclerites that are crucial for its identification."
Mollicutes,"1. Colonies of Mycoplasma display a characteristic ""fried-egg"" morphology on agar, with a dense, centrally embedded core and a lighter, translucent peripheral zone, indicating growth into the medium.


 2. Under electron microscopy, the plant pathogen Spiroplasma citri reveals a distinctive wall-less, helical, and filamentous cellular structure, a key feature for its motility within host phloem.


 3. Transmission electron micrographs of Ureaplasma show highly pleomorphic, coccoid cells bounded by a simple trilaminar membrane, entirely lacking the rigid cell wall typical of other bacteria.


 4. The elongated, flask-shaped cells of Mycoplasmoides pneumoniae are visible via electron microscopy, featuring a specialized terminal attachment organelle used for adhering to respiratory epithelium."
Actinomycetes,"1. On agar, colonies of Streptomyces coelicolor exhibit a tough, leathery texture and a chalky surface, producing a deep blue actinorhodin pigment that diffuses into the surrounding medium.


 2. Microscopic examination of Actinomyces israelii from an abscess reveals dense, yellowish sulfur granules, which are tangled masses of gram-positive, branching, and beaded filamentous rods.


 3. Cultures of Nocardia asteroides form distinctive, slow-growing colonies with a chalky white to orange, folded appearance, composed of extensively branching, filamentous, and weakly acid-fast bacilli."
Raphidophyceae,"1. The bloom-forming Heterosigma akashiwo appears as solitary, ovoid to elliptical cells of a yellowish-brown to greenish-yellow color, containing numerous small, discoid chloroplasts scattered throughout the cytoplasm.


 2. Fibrocapsa japonica is a brown-yellowish, oval-shaped flagellate distinguished by a conspicuous posterior cluster of naviculoid mucocysts, which are visible under light microscopy and can discharge mucilaginous threads.


 3. Under electron microscopy, cells of Chattonella antiqua show a radial distribution of lipid bodies and numerous plastids, which appear as an expanded, net-like reticulum during daylight hours."
Dipnoi,"1. The Australian lungfish, Neoceratodus forsteri, possesses a robust, olive-brown body covered in large, overlapping bony scales, with distinctive paddle-like pectoral fins and a continuous dorsal-caudal-anal fin.


 2. Exhibiting an elongated, eel-like body, the West African lungfish has a dark brown-gray coloration with black mottling and long, filamentous pectoral and pelvic fins used for navigating swampy habitats.


 3. The South American lungfish is characterized by its slender, eel-like gray body with darker spots and extremely thin, filament-like pectoral and pelvic fins, resting on a substrate of aquatic vegetation."
Nemertodermatida,"1. The live specimen Nemertoderma westbladi is a microscopic, worm-like organism with a translucent body, revealing numerous large epidermal glands and a distinct anterior statocyst containing double statoliths for orientation.


 2. Three individuals of Meara stichopi are visible as small, bilaterally symmetric aquatic worms, each measuring between 1 and 2 mm in length, with a simple, unpigmented, and elongated body structure."
Hexanauplia,"1. The marine copepod Calanus finmarchicus has a teardrop-shaped, transparent body with distinct segmentation, a single red median eye, and a pair of exceptionally long first antennae extending beyond the body.


 2. The brine shrimp, Artemia salina, displays an elongated body with eleven pairs of leaf-like thoracic appendages (phyllopods) and a pair of stalked compound eyes, swimming in an inverted orientation.


 3. The freshwater copepod Cyclops bicuspidatus shows a stout, segmented body with a prominent central eye, with the female distinguished by a pair of large, lateral egg sacs attached to the abdomen."
Cyclorhagida,"1. The mud dragon Echinoderes has a microscopic, segmented body encased in a rigid cuticle, with rings of posteriorly directed spines (scalids) on its retractable head, used for locomotion through sediment.


 2. A scanning electron micrograph of Campyloderes reveals its thirteen-segmented trunk, a neck region composed of multiple plates (placids), and a mouth cone surrounded by fused outer oral styles."
Elardia,"1. The microscopic worm Gnathostomula is characterized by a complex pharyngeal apparatus, featuring a pair of forceps-like jaws and a cuticular basal plate with rows of prominent teeth for scraping food.


 2. A reconstruction of Austrognathia shows its simple, worm-like external morphology, with the primary distinguishing features being the internal, sclerotized jaw structures visible under high magnification."
Ginkgoopsida,"1. The living fossil Ginkgo biloba is identified by its unique, fan-shaped leaves, which display an open dichotomous venation pattern where veins fork in pairs from the base without cross-connections.


 2. Male trees of the maidenhair tree produce small, fleshy, cone-shaped strobili that hang in clusters and contain the pollen-producing microsporangia, lacking any surrounding flower petals.


 3. A fossil leaf of Ginkgo adiantoides from the Paleocene shows the characteristic fan shape and dichotomous venation, appearing nearly identical to its modern relative despite millions of years of separation."
Polytrichopsida,"1. The common haircap moss, Polytrichum commune, forms dense, dark green turfs of tall, unbranched stems with long, narrow leaves that are strongly divergent when moist, giving it a star-like appearance from above.


 2. The giant moss Dawsonia superba is distinguished by its exceptionally tall, self-supporting gametophyte stems, reaching up to 60 cm, with long leaves that possess photosynthetic lamellae along their midrib."
Pauropoda,"	
1. The tiny myriapod Pauropus huxleyi has a soft, whitish, and elongated body with nine pairs of legs and a small head bearing distinctive, branching biramous antennae with three flagella.


 2. A member of the Eurypauropodidae family, Trachypauropus britannicus displays a more robust, brownish body with thick dorsal plates, giving it a segmented appearance reminiscent of a millipede.


 3. The pauropod Allopauropus is a minute, white arthropod with a slender, flexible body and a downward-directed head, requiring microscopic examination to observe its key identifying features."
Merostomata,"1. The Atlantic horseshoe crab, Limulus polyphemus, has a heavily armored body consisting of a large, horseshoe-shaped carapace, a hinged abdomen with lateral spines, and a long, spike-like telson.


 2. The extinct eurypterid Eurypterus remipes is preserved as a fossil showing a segmented body with a distinct prosoma, a tapering opisthosoma, and a final pair of large, paddle-like swimming legs."
Kinetofragminophora,"1. The ciliate Paramecium caudatum is easily recognized by its elongated, asymmetrical ""slipper"" shape, a visible oral groove, and a body uniformly covered in rows of short, motile cilia.


 2. Didinium nasutum is a barrel-shaped predatory ciliate, characterized by a conical anterior snout (proboscis) and two distinct transverse bands of cilia that encircle its body for rapid locomotion."
Leptocardii,"1. The lancelet Branchiostoma lanceolatum has a semi-transparent, pinkish, spindle-shaped body, pointed at both ends and showing distinct V-shaped muscle segments (myomeres) along its length.


 2. The lancelet Asymmetron lucayanum presents a slender, fish-like form, laterally compressed with a continuous dorsal fin, and lacks pigmentation, making its internal notochord and gill slits faintly visible."
Variosea,"1. The classic amoeba, Amoeba proteus, appears as an irregular, colorless, and translucent mass of protoplasm that constantly changes shape by extending and retracting blunt, finger-like pseudopodia.


 2. The flagellate Phalansterium is characterized by a single anterior flagellum surrounded by a distinct cytoplasmic collar, a structure used in its phagotrophic mode of feeding.


 3. Individuals of Angulamoeba microcystivorans are irregularly shaped and often elongated or branched, clustering together into a yellowish-brown mucilage matrix that gives them a ""rusty"" appearance."
Heterotardigrada,"1. The armored tardigrade, Echiniscus testudo, exhibits a segmented body covered in distinct, heavily sclerotized dorsal plates, giving it a tortoise-like appearance under high magnification. 
 2. With delicate, telescoping legs ending in adhesive toe discs, the marine tardigrade Batillipes sp. displays a translucent, unarmored body adapted for interstitial life in sandy sediments. 
 3. Broad, flattened cuticular extensions known as alae give the marine tardigrade Floractus heimi a distinctive, almost leaf-like silhouette, contrasting with the plump bodies of other species."
Gordioida,"1. Emerging from its host, the horsehair worm Gordius aquaticus appears as an extremely long, pale brown filament, often twisting into a tangled, knot-like mass in the water. 
 2. The dark, cord-like body of Paragordius varius is seen writhing in a shallow pool, its smooth, unadorned cuticle reflecting light from the water's surface. 
 3. A dense, writhing aggregation of Gordionus worms forms a characteristic ""Gordian knot"" in a puddle, their slender, yellowish-tan bodies tangled together in a single mass."
Sagittoidea,"1. The nearly transparent body of Parasagitta elegans is torpedo-shaped, featuring two pairs of delicate, ray-supported lateral fins and a distinct caudal fin, making it visible against a dark background. 
 2. Characterized by a limp, flaccid body that is widest at its midpoint, Flaccisagitta enflata is almost perfectly transparent, with small, star-shaped eye pigments visible in its head. 
 3. Attached to seaweed in a tide pool, the benthic arrow worm Spadella cephaloptera displays a rigid, translucent body with prominent grasping spines flanking its head."
Pelagophyceae,"1. Under a microscope, the harmful brown tide alga Aureococcus anophagefferens appears as a dense concentration of minute, spherical, non-motile golden-brown cells without distinguishing features. 
 2. Forming macroscopic gelatinous colonies, Sarcinochrysis marina is composed of cells arranged in cubic packets, creating a distinctive, block-like microstructure embedded within a shared mucilage. 
 3. The macroscopic alga Chrysocystis fragilis forms fragile, flowing colonies shaped like cylindrical sacs up to several centimeters long, with golden-brown cells dispersed in a translucent matrix."
Flabellinia,"1. A vibrant violet body and dense clusters of bright red-orange cerata define the sea slug Flabellina affinis, seen crawling over a rocky substrate. 
 2. The Spanish shawl displays a striking purple body and vivid orange cerata, with its two prominent, feathery rhinophores colored a deep scarlet red. 
 3. A translucent white body marked with fine, longitudinal red and purple lines characterizes Flabellina rubrolineata, whose cerata are tipped with bright orange against a dark background."
Lingulata,"1. The brachiopod Lingula anatina presents a simple, tongue-shaped shell of two greenish-tan valves, from which a long, muscular, fleshy pedicle extends for anchoring in sandy burrows."
Opalinata,"1. The large, flattened, leaf-shaped cell of Opalina ranarum is covered in rows of short, hair-like flagella whose coordinated beating creates a distinctive iridescent sheen under light microscopy. 
 2. Viewed under a microscope, Proteromonas lacertae is a small, pear-shaped protist with a single nucleus at its anterior end, from which two flagella of unequal length emerge."
Bacteroidia,"1. A scanning electron micrograph of Bacteroides fragilis reveals short, pleomorphic rod-shaped cells with a textured surface from which small extracellular vesicles are budding. 
 2. Under an electron microscope, Prevotella melaninogenica appears as very small, ovoid rods, often found in pairs or small clusters on a substrate. 
 3. The coccobacillus Porphyromonas gingivalis is shown in a dense aggregate, its cell surface covered in fine fimbriae that facilitate adhesion and biofilm formation."
Pisoniviricetes,"1. In a transmission electron micrograph, poliovirus particles appear as small, uniform, non-enveloped virions with a dense core and a distinct icosahedral (hexagonal) protein capsid. 
 2. A transmission electron micrograph of a coronavirus reveals a roughly spherical, enveloped particle with a characteristic halo of prominent spike proteins projecting from its surface, creating a crown-like image."
Epsilonproteobacteria,"1. A scanning electron micrograph shows the distinctive helical, or spiral-shaped, rod morphology of Helicobacter pylori, with several flagella emerging from one pole of the cell. 
 2. The corkscrew shape of Campylobacter jejuni is clearly visible in a scanning electron micrograph, highlighting its slender, curved body and a single polar flagellum used for motility."
Remipedia,"1. The remipede Speleonectes tanumekes has a remarkably long, worm-like body composed of numerous, uniform segments, each bearing a pair of paddle-like, biramous swimming legs. 
 2. With a distinct head shield covering the anterior segments, Lasionectes entrichoma displays a pale, segmented trunk with laterally projecting limbs, adapted for swimming in subterranean caves."
Protura,"1. The minuscule, whitish proturan Eosentomon dawsoni has a slender, segmented body and a conical head, holding its enlarged front legs forward to function as sensory antennae. 
 2. Lacking eyes or antennae, the pale, elongated body of Gracilentulus gracilis is clearly visible against dark soil particles, with its first pair of legs extended anteriorly."
Compsopogonophyceae,"1. The freshwater red alga Compsopogon coeruleus grows as coarse, branching filaments of a blue-green to grey color, with older axes showing a corticated structure of outer cells around a central core."
Phaeothamniophyceae,"1. The golden alga Phaeothamnion confervicola consists of delicate, branched filaments of cylindrical, golden-brown cells, seen here attached to another algal strand. 
 2. In a plankton sample, Stichogloea doederleinii appears as small, gelatinous colonies, typically composed of four spherical golden-brown cells grouped together."
Klebsormidiophyceae,"1. The unbranched, filamentous green alga Klebsormidium flaccidum is composed of short, cylindrical cells, each containing a single, distinct, plate-like chloroplast that partially encircles the cell's interior."
Pyramimonadophyceae,"1. A specimen of Pyramimonas tatianae is a green, quadriflagellate cell with a truncated anterior, a centrally located pyrenoid, and a cup-shaped chloroplast divided into four lobes.


 2. The microscopic cell body of a Pyramimonas species is covered by intricate, multi-layered box and crown scales, while its flagella are covered with pentagonal and limuloid scales.


 3. Observed in division, a cell shows duplicated flagella and pyrenoids, with cytokinesis underway, and an almost spherical outline with a posterior eyespot."
Geminibasidiomycetes,"	N/A"
Chondrostei,"1. The Siberian sturgeon, Acipenser baerii, displays a shark-like, spindle-shaped body with a flattened rostrum, armored by five rows of prominent bony scutes and a heterocercal tail.


 2. With its incredibly long, paddle-shaped snout, the American paddlefish possesses a smooth, scaleless gray-green body and a deeply forked heterocercal tail.


 3. An Atlantic sturgeon, Acipenser oxyrinchus, swims in an aquarium, showing its stout, cartilaginous body and distinct rows of large, bony plates along its flanks."
Granofilosea,"1. The amoeboid stage of Reticulamoeba shows a roundish to irregular outline with long, branched reticulopodia radiating outwards across the substrate, appearing to form a wide network.


 2. A stationary cell, possibly a Reticulamoeba, has bidirectionally streaming granules visible on its thin, radiating pseudopodia as it feeds on diatoms in a marine environment."
Spirochaetes,"1. The phylum Spirochaetes is distinguished by its long, helically coiled, corkscrew-shaped cells, whose twisting motion is powered by internal axial filaments.


 2. A long, spiral-shaped bacterium, Borrelia recurrentis, displays its distinctive double-membrane structure and an axial filament that runs lengthwise between the membranes."
Symphyla,"1. The small, white body of the garden symphylan, Scutigerella immaculata, has a head with long antennae and a trunk composed of up to 22 dorsal tergal plates, granting it great flexibility.


 2. A small, soil-dwelling arthropod, a species of Symphyla, is seen with its soft body, lacking eyes and pigment, and equipped with a pair of spinnerets resembling cerci at its posterior end.


 3. A myriapod from the family Scolopendrellidae is shown with a soft, cryptic body and 12 pairs of legs, allowing it to move rapidly through soil pores."
Blastocladiomycetes,"1. The parasitic fungus Coelomomyces santabrancae is observed inside a mosquito's abdomen, appearing as masses of ovoid, thick-walled, yellow-golden sporangia with a punctated surface.


 2. Monoblepharis polymorpha forms a branched thallus of foamy, hyphae-like filaments, with elongated sporangia borne singly at the hyphal tips."
Coleochaetophyceae,"1. Colonies of Coleochaete orbicularis form a distinctive flat, green disc attached to a substrate, composed of multiple filaments radiating from a central point, with their edges joined together.


 2. A filamentous Coleochaetophyceae colony consists of a skein of single-celled filaments, each containing a single parietal green chloroplast."
Ichthyosporea,"1. A fish infected with Dermocystidium shows a visible lesion on its skin, manifesting as a bubble-like cyst containing a whitish, worm-like structure.


 2. The host's superficial dermis displays a single ichthyosporean sporangium, appearing as a round, white, raised nodule that elevates the epidermis and compresses surrounding tissue.


 3. The presence of Ichthyophonus hoferi is indicated by white, small nodules formed on the internal visceral organs of a diseased fish, often alongside abdominal distention."
Pararotatoria,"1. A Bdelloid rotifer displays its characteristic ciliated corona, a pair of rotating wheels of cilia used for both locomotion and capturing food particles.


 2. A rotifer with its body stretched out shows the distinct trophi, or jaws, visible inside its body, used to crush ingested food.


 3. A Philodina roseola specimen with a retracted corona is observed creeping like an inchworm, using its foot with two prominent spurs at the posterior end."
Aquificae,N/A
Diplonemea,"1. A colorless, biflagellated protist, Diplonema japonicum, has an elongated body that tapers anteriorly and exhibits frequent, sac-shaped contortions in its flexible cell body.


 2. The protist, Diplonema, possesses a characteristic asymmetric apical papilla and a deep subapical flagellar pocket, from which two unequal flagella emerge."
Palmophyllophyceae,N/A
Katablepharidea,"1. A Katablepharidea specimen has a distinct comma-shape in lateral view, with a rounded apical end and an acute or bluntly rounded posterior, and two unequal flagella.


 2. Observed with SEM, the cell exterior reveals a serrated outline, a visible result of its inner periplast component composed of overlapping hexagonal plates."
Pinguiophyceae,N/A
Atractiellomycetes,"1. The filamentous fungus displays minute globose conidia forming at the tips of hyphae, a reproductive feature characteristic of the Order Atractiellales."
Agaricostilbomycetes,"1. A dense hyphal aggregate, the primary hyphal knot, appears as a round, brown-colored resting body known as a sclerotium. 
 2. The fruiting body of this fungus is agaricoid, resembling a mushroom with distinct cap and stipe tissues. 
 3. The small stilboid basidiocarp is pin-shaped, a form characteristic of some species, which are often mycoparasitic or saprobic."
Wallemiomycetes,"1. A colony of Wallemia sebi forms a punctiform, cerebriform shape on agar, displaying a dusty, compact, and rust-brown coloration with a domed profile. 
 2. The hyphae of Wallemia muriae form a deep-spreading mycelium, and their conidiophores produce packages of four pale brown conidia. 
 3. A colony on MY50G agar displays a yellowish-brown reverse and a spreading marginal area, with a velvety texture from strong sporulation."
Craspedophyceae,N/A
Filasterea,"1. A parasitic unicellular stage of Txikispora philomaios displays a single amorphous nucleus and electron-dense lipidic vesicles within a very translucent cytoplasm. 
 2. An amoeboid cell is surrounded by a multi-layered cell wall, from which subtle evaginations of the wall are visible, showing a detachment from the plasma membrane. 
 3. An adherent, unicellular stage of Capsaspora owczarzaki uses long, fine, thread-like filopodia to anchor itself to a substrate."
Thermoprotei,"1. A hyperthermophilic Thermoproteus cell has a rod-shaped body with a single terminal globular body, giving it a characteristic golf club-like morphology. 
 2. The species Pyrobaculum aerophilum forms a rigid, straight rod-shaped cell with a distinctive spherical body at one terminal end. 
 3. An individual cell of Pyrolobus fumarii is a regularly irregular coccus, or lobe-shaped, with a diameter between 0.7 and 2.5 µm, rather than perfectly round."
Rhodellophyceae,"1. A unicellular red alga displays a vibrant red coloration, a result of the phycobiliproteins localized within its chloroplasts. 
 2. This alga is bright green, a color that, despite the name red algae, is possible due to varying accessory pigment concentrations. 
 3. The microscopic Rhodella violacea is a spherical-bodied alga that lacks flagella and centrioles, making its motility distinct from other protists."
Pneumocystomycetes,"1. A pleomorphic, amoeboid trophozoite of Pneumocystis jirovecii appears as a small, single-celled organism with a single nucleus. 
 2. A thick-walled cyst of Pneumocystis jirovecii appears as a rounded form with its wall stained black by methenamine silver. 
 3. A spherical precyst of the organism measures 4–7 µm and contains a single nucleus without any internal intracystic bodies."
Polythalamea,"1. This unicellular marine organism has a highly variable shell made of agglutinated particles, cemented together to form its outer test. 
 2. A species of foraminifera has a shell with a trochospiral shape, forming a test that resembles a miniature snail. 
 3. The test of Heterostegina depressa is glassy, a translucent texture characteristic of some hyaline-walled species."
Actinophryidae,"1. Actinophrys sol is a single-nucleated, spherical cell body with numerous stiff, needle-like axopodia radiating outward, resembling a sun. 
 2. A large, multinucleate heliozoan, Actinosphaerium nucleofilum, shows a spherical body with a vacuolated outer region and radiating axopodia for capturing prey. 
 3. An aquatic protozoan displays the rapid collapse of its rigid, radiating axopodia to pull a prey item close to its cell body."
